public-global-fishing-effort-v20231026
Latitude,Longitude,Time Range,MMSI,Entry Timestamp,Exit Timestamp,Apparent Fishing Hours
21.600000,116.200000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412445092,2024-02-03T15:00:00Z,2024-04-18T14:00:00Z,0.22
23.800000,118.900000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451484,2024-01-01T03:00:00Z,2024-04-23T18:00:00Z,1.93
20.400000,115.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451522,2024-03-28T12:00:00Z,2024-04-15T15:00:00Z,2.40
20.200000,117.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449036,2024-03-03T10:00:00Z,2024-04-19T07:00:00Z,13.71
21.100000,116.100000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412475143,2024-04-06T08:00:00Z,2024-04-07T22:00:00Z,5.66
22.900000,118.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412444316,2024-01-05T06:00:00Z,2024-04-29T14:00:00Z,0.97
22.900000,118.600000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412444316,2024-01-05T06:00:00Z,2024-04-29T14:00:00Z,15.35
22.100000,119.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412450838,2024-03-07T15:00:00Z,2024-04-28T15:00:00Z,48.57
21.700000,116.800000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412450838,2024-03-07T15:00:00Z,2024-04-28T15:00:00Z,4.47
20.300000,117.600000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412451297,2024-03-30T07:00:00Z,2024-04-14T16:00:00Z,1.98
21.600000,116.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412459955,2024-01-07T18:00:00Z,2024-04-27T08:00:00Z,19.17
20.200000,117.600000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412459985,2024-04-07T14:00:00Z,2024-05-12T17:00:00Z,4.44
21.000000,115.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412311685,2024-03-24T06:00:00Z,2024-04-15T07:00:00Z,1.31
20.300000,117.400000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412459985,2024-04-07T14:00:00Z,2024-05-12T17:00:00Z,2.07
17.600000,116.300000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412442485,2024-03-04T20:00:00Z,2024-04-24T21:00:00Z,16.63
20.200000,115.000000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412352888,2024-03-16T10:00:00Z,2024-05-08T09:00:00Z,27.99
19.300000,117.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412442485,2024-03-04T20:00:00Z,2024-04-24T21:00:00Z,2.96
20.300000,118.100000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412442485,2024-03-04T20:00:00Z,2024-04-24T21:00:00Z,0.80
23.000000,118.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412469261,2024-01-06T08:00:00Z,2024-05-26T19:00:00Z,0.54
18.200000,116.600000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",413086658,2024-03-17T10:00:00Z,2024-04-06T20:00:00Z,2.49
18.500000,114.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449021,2024-03-03T10:00:00Z,2024-04-21T21:00:00Z,29.38
20.300000,117.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449021,2024-03-03T10:00:00Z,2024-04-21T21:00:00Z,10.45
21.500000,118.500000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412449021,2024-03-03T10:00:00Z,2024-04-21T21:00:00Z,9.10
21.300000,115.700000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412477974,2024-01-09T17:00:00Z,2024-03-24T00:00:00Z,0.24
23.800000,118.800000,"2024-01-01T00:00:00.000Z,2024-06-01T00:00:00.000Z",412450664,2024-04-11T10:00:00Z,2024-04-27T16:00:00Z,1.95
